 administered_to, 	has_administration 
 affects, 		affected_by 
 associated_with, 	associated_with_r 
 augments,        	has_augmentation 
 causes, 		caused_by 
 coexists_with,   	coexists_with 
 occurs_in,  		has_occurrence 
 complicates, 		complicated_by 
 converts_to,     	has_conversion 
 diagnoses,  		diagnosed_by 
 disrupts, 		disrupted_by 
 inhibits,        		inhibited_by 
 interacts_with, 	interacts_with 
 location_of, 		has_location 
 manifestation_of, 	has_manifestation 
 method_of, 		has_method 
 part_of,		has_part 
 precedes, 		follows 
 predisposes,     	predisposed_by 
 prevents, 		prevented_by 
 process_of,  		has_process 
 produces, 		produced_by 
 stimulates,      		stimulated_by 
 treats,  		treated_by  
 uses,    		used_by 
 has_administration, 	administered_to 
 affected_by, 		affects 
 associated_with_r , 	associated_with 
 has_augmentation,  	augments 
 caused_by, 		causes 
 coexists_with,   	coexists_with 
 has_occurrence,  	occurs_in  
 complicated_by, 	complicates 
 has_conversion,  	converts_to 
 diagnosed_by, 	diagnoses 
 disrupted_by,  	disrupts 
 inhibited_by,      	inhibits 
 interacts_with, 	interacts_with 
 has_location,  		location_of 
 has_manifestation, 	manifestation_of 
 has_method, 		method_of 
 has_part, 		part_of 
 follows,  		precedes 
 predisposed_by,     	predisposes 
 prevented_by, 	prevents 
 process_of, 		has_process 
 produces, 		produced_by 
 stimulated_by,     	stimulates 
 treated_by,   		treats  
 used_by,		uses 
